bds,bmn,bstd
1,0.00444,0.01082
2,0.00213,0.00590
3,0.00169,0.00298
4,0.00187,0.00436
5,0.00199,0.00329
6,0.00204,0.00339
7,0.00195,0.00340
8,0.00209,0.00341
9,0.00215,0.00404
10,0.00194,0.00340
11,0.00208,0.00383
12,0.00287,0.00782
13,0.00845,0.01934
